cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"16757","10677","398248","1203901","The Campbell & Fetter Bank","Kendallville","IN","46755","3/31/2018","5/14/2018","NM","126 S. Orchard Street","C&F BANC SHARES CORP.","8","0","0","8","0","Noble","","","1/1/1863","1/3/1949","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.campbellfetterbank.com","71","319830","7293","5699","122068","355","179528","1675","0","1031","0","66","9489","319830","291126","230806","168971","230806","88.718675017108","26849","0","32500","0","971","28704","28704","0","651","5850","22203","0","248","0","1149","307650","151825","329996","329996","152920","327466","0","0","0","0","45106","5328","32500","0","28266","32571","1675","28266","0"
"6985","9221","161602","1133503","The Canandaigua National Bank and Trust Company","Canandaigua","NY","14424","3/31/2018","5/14/2018","N","72 South Main Street","CANANDAIGUA NATIONAL CORPORATION","24","0","0","4","0","Ontario","40380","Rochester, NY","12/1/1887","1/1/1934","12/12/2006","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.cnbank.com","473","2685837","46244","12142","392607","3906","2179758","22001","3553","13104","108","11789","34768","2685837","2443099","2204908","1704578","2204908","54.3624632803409","0","3553","219400","0","15238","242738","242686","0","8000","46314","188372","52","14262","0","8722","2588413","459264","2664550.5","2664550.5","2126329","2631362","0","0","0","0","115451","16469","219400","2399","703001","238164","22001","703001","222354"
"23287","14063","664206","4369808","The Cape Cod Five Cents Savings Bank","Harwich Port","MA","2646","3/31/2018","5/14/2018","SB","532 Main St.","CAPE COD FIVE MUTUAL COMPANY","20","0","0","5","0","Barnstable","12700","Barnstable Town, MA","3/16/1855","1/2/1981","4/29/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.capecodfive.com","497","3272875","46830","17278","372393","0","2693246","16943","0","61657","0","7120","91629","3272875","2970031","2695186","2578671","2695186","76.4933885652293","19853","0","243023","0","11969","302844","302844","0","0","0","302844","0","12830","194","6938","3082917","1368915","3250577","3250577","2116290","3224758","43743","43743","0","0","322184","2679","243023","10023","590671","307133","16943","590671","62886"
"34562","0","2594240","2777016","The Capital Bank","Little Rock","AR","72211","3/31/2018","5/14/2018","SM","12224 Chenal Parkway","CAPITAL BANCSHARES, INC","1","0","0","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","9/8/1997","9/8/1997","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.thecapitalbank.com","10","151776","580","71","76544","0","62727","1062","0","3075","171","0","8679","151776","139447","107268","100960","107268","54.0526943429977","2550","0","29372","0","257","12329","12329","0","320","11149","860","0","726","0","718","139342","67204","150385.5","150385.5","89536","150537","2221","2221","0","0","74331","1940","29000","0","6924","13892","1062","6924","0"
"2241","10662","219651","1131527","The Carlsbad National Bank","Carlsbad","NM","88220","3/31/2018","5/14/2018","N","202 West Stevens Street","CARLSBAD BANCORPORATION, INC.","3","0","0","8","1","Eddy","","","8/1/1924","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","http://www.carlsbadnational.com","70","374172","28689","19151","175947","0","156426","1678","0","2159","0","369","10582","374172","346341","342294","323371","342294","52.0096196689097","3696","0","0","0","351","27831","27831","0","2500","2500","22831","0","1105","0","2713","351524","136687","379984","379984","180617","371813","5302","5302","0","0","11389","3824","0","226","29222","32377","1707","29222","226"
"15708","13596","646145","1398768","The Casey County Bank, Inc.","Liberty","KY","42539","3/31/2018","5/14/2018","SM","176 Wallace Wilkinson Blvd.","CASEY COUNTY BANCORP, INC.","5","0","0","8","0","Casey","","","12/20/1939","12/20/1939","11/2/2009","Stock","0","1","FED","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","www.caseybank.com","50","183383","10967","6560","33614","2801","128997","1582","0","3996","348","0","2660","183383","160751","155205","118232","155205","82.1092678781793","608","0","4074","0","864","22632","22632","0","500","16000","6132","0","2726","0","1000","171972","79330","182145","182145","133339","182434","0","0","0","0","9181","807","4074","0","10389","23076","1582","10389","0"
"8774","12147","982142","1928633","The Cecilian Bank","Cecilia","KY","42724","3/31/2018","5/14/2018","NM","104 East Main","FIRST CECILIAN BANCORP, INC.","16","0","0","4","0","Hardin","21060","Elizabethtown-Fort Knox, KY","5/1/1903","1/1/1934","5/21/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","http://www.thececilianbank.com","215","878919","39564","1504","219496","50724","536880","8313","0","17739","132","1961","12423","878919","793690","714791","589142","714791","79.2404833414821","25840","0","47499","0","5560","85229","85229","0","100","78295","6834","0","8338","0","3427","808604","346546","867164.5","867164.5","632992","859017","1491","1491","0","0","65445","27563","47499","0","91599","87520","7919","91599","0"
"4181","16114","459354","1067411","The Central National Bank of Poteau","Poteau","OK","74953","3/31/2018","5/14/2018","N","209 Clayton Street","CENTRAL BANCSHARES OF POTEAU, INC.","6","0","0","2","1","Le Flore","22900","Fort Smith, AR-OK","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.cnbpoteau.com","78","237093","6182","1560","62075","3153","158716","1266","0","2512","0","0","4455","237093","212582","212305","190482","212305","79.2833204676821","0","0","0","0","277","24511","24511","0","500","1000","23011","0","1415","314","1950","225504","117111","237628","237628","149597","236152","0","0","0","0","11558","1519","0","0","14448","25902","1266","14448","0"
"12633","11369","853952","1094314","The Central Trust Bank","Jefferson City","MO","65101","3/31/2018","5/14/2018","SM","238 Madison Street","CENTRAL BANCOMPANY, INC","14","0","0","9","0","Cole","27620","Jefferson City, MO","2/3/1902","1/1/1934","7/15/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","0","www.centralbank.net","654","2383061","84577","52844","1187363","0","997875","15790","248","39682","2195","11667","59454","2383061","2157295","1635950","1111866","1635950","67.4269713958143","505517","0","0","0","15828","225766","225766","0","4000","50286","171480","0","7006","878","7735","2238330","287102","2444251.5","2444251.5","1514855","2433506","0","0","0","0","529470","52527","0","9240","333199","215044","16093","333199","67406"
"24272","0","675051","0","The Chasewood Bank","Houston","TX","77070","3/31/2018","5/14/2018","NM","20333 Hwy 249, # 100","","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","2/14/1983","2/14/1983","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.chasewoodbank.com","26","102525","10677","7639","37286","1508","51815","424","0","339","0","0","900","102525","94859","94765","71545","94765","71.6511593560774","19","0","0","0","75","7666","7666","0","2843","4958","-135","0","837","0","225","98248","38225","104351.5","104351.5","60362","103632","0","0","0","0","29060","0","0","0","3748","9069","424","3748","0"
